board_id,address,location_note,lat,lng
28-2,南林間３−１０−１７,南林間児童遊園南側,35.4953212,139.4461591
28-3,南林間３−１０−１,学校法人大和学園聖セシリア小学校東側,35.4970975,139.4471129
28-4,南林間３−１１−７,学校法人大和学園聖セシリア中学校南側,35.4965345,139.4486293
28-5,林間２−６−１８,特別支援教育センター「アンダンテ」南側,35.4974118,139.4488865
28-6,中央林間２−６−１７,みどり野リハビリテーション病院 正門横,35.4990005,139.4490687
28-7,中央林間２−１６,中央林間１号公園南側,35.4993496,139.4502689
28-8,中央林間７−８−１,三菱重工冷熱株式会社の正門横,35.5017108,139.4522837
29-1,福田３９７１,南庭１号公園,35.4336417,139.4582636
29-2,福田６００２,渋谷保育園西側,35.4307426,139.4593106
29-3,福田４０６９,ゆとりの森駐車場東側,35.4345815,139.4557996
29-4,福田５７０,下福田小学校北側裏門横,35.4287316,139.4605463
29-5,福田５７０,下福田小学校南側正門横,35.4280027,139.4598765
29-6,福田６１１−１,コミュニティーセンター下福田会館正面,35.4272477,139.4602409
29-7,福田１３６１,小嶋園北側フェンス,35.4228919,139.46135
29-8,福田４０８４,中福田ちびっこ広場,35.4318392,139.4564793
30-1,中央林間７−１２ー２,ニッセイロジスティクスセンター西南,35.4983312,139.4557812
30-2,つきみ野３−４,神奈川県立大和高等学校南側,35.5031075,139.4572991
30-3,中央林間７−１０ー１,三機テクノセンター正門横,35.5036792,139.456265
30-4,つきみ野３−５−１,つきみ野中学校南側,35.5046263,139.4569294
30-5,つきみ野３−５−１,つきみ野中学校北側正門横,35.5057786,139.4566936
30-6,つきみ野３−１６,つきみ野４号公園北側,35.503592,139.4604391
30-7,つきみ野１−５,つきみ野１１号公園東側,35.5014446,139.4610768
30-8,つきみ野１−１２,つきみ野５号公園西側,35.5013694,139.4626194
31-1,福田８−２２−５,福田保育園南側,35.4497468,139.4628022
31-2,柳橋５−３,引地川沿いフェンス（ふきのとう舎の向い側）,35.4497424,139.4610446
31-3,福田７−３３−５,南部学校給食共同調理場,35.4473681,139.459914
31-4,福田７−１２−１２,山下梨園西側フェンス,35.446085,139.4624432
31-5,福田７−７,関水動物病院東側,35.4473703,139.463704
31-6,福田２−３３−１,富士見橋公園西側,35.4472132,139.4654136
31-7,福田２−３３−１,富士見橋公園東側,35.4471833,139.4660477
31-8,福田１−５,桜ヶ丘駅西口フェンス,35.4476344,139.4686481
32-1,下鶴間１７８１付近,下鶴間子どもの広場南側植込み,35.4962726,139.4550808
32-2,下鶴間３０００−３,緑の広場１７号北側,35.4960544,139.4569401
32-3,下鶴間３００８,大和歩行者専用道,35.4947407,139.4555844
32-4,下鶴間３０１６,鶴間中学校北側,35.4934619,139.4569187
32-5,下鶴間３０１６,鶴間中学校南側,35.4923926,139.4573902
32-6,下鶴間２７８６,山王原西公園北側,35.4906817,139.4586655
32-7,下鶴間２７７６−１８,長堀公園東側,35.4896124,139.4635577
32-8,下鶴間２７７７−５,リラの丘公園北側植込み,35.4898786,139.4600748
33-1,つきみ野７−３−２,つる舞の里歴史資料館,35.5103351,139.457342
33-2,つきみ野６−２−１０,つきみ野６号公園北側,35.5095539,139.4563293
33-3,つきみ野７−５,さくらの散歩道,35.5117231,139.4565489
33-4,つきみ野８−１１,つきみ野２号公園西側,35.5132004,139.4565257
33-5,つきみ野８−３,つきみ野９号公園西側,35.5131328,139.453784
33-6,つきみ野５−４,市営つきみ野住宅５号棟北側,35.5075942,139.4568329
33-7,つきみ野５−５,つきみ野野球場北側,35.5082989,139.4593658
33-8,つきみ野５−４,つきみ野駅前道路西側,35.5070312,139.4607285
34-1,西鶴間１−２４,西鶴間一丁目公園東側歩道,35.4880237,139.4507137
34-2,西鶴間１−２５−２,民家（フェンス）,35.4877575,139.4502689
34-3,西鶴間１−２４,西鶴間一丁目公園南側歩道,35.4878709,139.4509173
34-4,西鶴間２−４,西鶴間二丁目公園南側,35.486291,139.4507994
34-5,西鶴間２−４−２０,コミュニティセンター西鶴間会館,35.4864917,139.4510727
34-6,南林間４−１,朝日新聞販売店前歩道ポール,35.4885824,139.4495081
34-7,西鶴間１−５,鶴間駅西口と南林間駅の中間地点の線路フェンス,35.4886653,139.453066
35-1,南林間７−８,南林間西北公園,35.4898481,139.4424082
35-2,南林間７−１４,緑の広場１１号東側,35.4892391,139.4419301
35-3,南林間７−１４−２４,コミュニティーセンター南林間会館,35.4892676,139.4413526
35-4,南林間６−６,南林間１号公園南側,35.4872381,139.4443587
35-5,南林間７−１４,緑の広場１１号北側,35.4894072,139.4416527
35-6,南林間６−１６−３４,やまと防災パーク 東側,35.4858807,139.4429923
35-7,南林間６−１６−３４,やまと防災パーク 西側,35.4855097,139.4414169
35-8,南林間６−２７,南林間むつみ公園,35.4858196,139.4395415
